Year,Month,Day_of_week,Weekend,Trips,Med_Income_Orig,Pop_den_Orig,Per_Male_Orig,Working_age_Orig,Elderly_Orig,Avg_Hhold_Orig,Married_Orig,F_Married_Orig,HighSchool_higher_Orig,Bachelor_Higher_Orig,Commute_PC_Orig,Com_LU_Orig,Gov_LU_Orig,Ind_LU_Orig,Parks_LU_Orig,Res_LU_Orig,Med_Income_Des,Pop_den_Des,Per_Male_Des,Working_age_Des,Elderly_Des,Avg_Hhold_Des,Married_Des,F_Married_Des,HighSchool_higher_Des,Bachelor_Higher_Des,Com_LU_Des,Com_LU_Des,Gov_LU_Des,Ind_LU_Des,Parks_LU_Des,Res_LU_Des,Avgerage_Temp,Precipitation,Snow,Cases,Deaths,Hospitalizations,Positive_Rate,Partially_Vaccinated,Fully_Vaccinated,Stringency_Index
3,4,6,1,1,112334.08,8855.526837,0.594,0.814,0.037,2.2,0.302,0.404,0.923,0.631,0.52,0.069667018,0.025134684,0.005503986,0,0.190594976,166032.28,9641.736693,0.498,0.741,0.116,2.12,0.433,0.463,0.937,0.817,0.571,0.039312348,0.008749768,0,0,0.219326734,11,0,0,309,7,53,0.0543,0.408,0.269,51.85
3,6,0,0,1,78131.16,11125.75218,0.473,0.79,0.07,2.08,0.228,0.196,0.888,0.578,0.44,0.027718029,0.006718573,0.001759182,0.000160412,0.156970741,145700,7905.891824,0.592,0.881,0.029,2.2,0.244,0.349,0.993,0.891,0.711,0.04979928,0.001607606,0,0.086121692,0.141822927,24,1.88,0,50,2,11,0.0081,0.561,0.498,34.26
2,11,4,0,5,188886.72,5429.411174,0.46,0.778,0.084,2.31,0.466,0.365,0.988,0.913,0.61,0.127848964,0.004623561,0.080925048,0.004490626,0.211019667,89846.68,8825.577844,0.457,0.789,0.137,1.58,0.332,0.256,0.98,0.788,0.671,0.005936397,0.003026216,0,0.000671932,0.075842309,4,0,0,2694,20,126,0.1413,0,0,56.02
2,12,3,0,9,96230.2,41035.94501,0.509,0.823,0.126,1.51,0.264,0.242,0.958,0.799,0.745,0.012889473,0.020317414,0,0,0.057651884,126179.92,11082.88832,0.479,0.913,0.063,1.49,0.348,0.292,0.995,0.911,0.693,0.121137046,0.01464546,0,0.0160552,0.041672493,0,0,0,1350,23,99,0.0897,0.001,0,61.11
2,7,1,0,6,78131.16,11125.75218,0.473,0.79,0.07,2.08,0.228,0.196,0.888,0.578,0.44,0.027718029,0.006718573,0.001759182,0.000160412,0.156970741,187274.72,3412.905497,0.513,0.836,0.035,1.79,0.42,0.425,0.99,0.841,0.6,0.09582844,0.009420857,0.094308484,0.005731105,0.053664057,26,0,0,332,3,19,0.0444,0,0,58.33
2,12,1,0,2,184514.48,4329.430206,0.517,0.694,0.146,2.19,0.417,0.455,0.927,0.756,0.464,0.123438816,0.049460341,0.038875451,0.00044374,0.155355676,88502.52,23399.87103,0.484,0.855,0.1,1.46,0.294,0.253,0.985,0.856,0.671,0.035163655,0.012146646,0,0.006407402,0.099349493,-1,0,0,2189,35,141,0.1257,0,0,61.11
2,10,5,0,1,150409.52,6108.193607,0.565,0.75,0.053,2.55,0.335,0.445,0.965,0.763,0.343,0.182220912,0.012114772,0.014111204,0,0.213347034,168652.4,3983.534441,0.471,0.574,0.355,1.72,0.589,0.464,0.992,0.793,0.513,0.009559366,0.000449899,0,0.005189693,0.05653157,11,0,0,547,5,49,0.0843,0,0,54.63
2,10,3,0,3,47630.88,11603.29483,0.484,0.739,0.156,1.65,0.288,0.295,0.969,0.714,0.677,0.135028467,0.008158249,0,0,0.198033006,133730.28,15302.79095,0.46,0.823,0.143,1.51,0.472,0.396,0.993,0.882,0.694,0.031007552,0.009480363,0,0.020535587,0.034216374,18,4.72,0,1307,4,71,0.088,0,0,54.63
3,1,3,0,1,26800.12,7438.895184,0.518,0.611,0.103,2.89,0.167,0.11,0.829,0.066,0.474,0.015526313,0.013881194,0,0,0.086818688,118242.68,8318.835601,0.498,0.865,0.056,2.06,0.444,0.37,0.946,0.736,0.521,0.026941412,0.071740165,0,0.001241598,0.159166791,3,0.33,0,1053,15,67,0.0709,0.028,0.009,61.11
2,12,5,0,1,177998.28,11753.75594,0.539,0.863,0.021,2.24,0.374,0.453,0.972,0.812,0.612,0.046217573,0.02645794,0,0,0.18605814,106896.68,26611.20588,0.397,0.58,0.379,1.55,0.636,0.484,0.989,0.813,0.741,0.028350004,0,0,0.079286339,0.127963102,-2,0,0,958,19,81,0.1262,0.009,0,61.11
